	HCT_WT2	SW837D	R1-1	HCT_WT3	SW837	HCT116	HCT_WT1	SW620	R1-2	R1-3
ENSG00000115365	1478	300	1784	741	2152	2396	2487	2269	758	706
ENSG00000021826	53	4	174	21	52	2469	107	5	20	16
ENSG00000280837	0	0	0	1	0	0	0	0	0	0
ENSG00000271074	0	0	0	0	0	0	0	0	0	0
ENSG00000231017	0	0	0	0	0	0	0	0	0	0
ENSG00000178568	0	0	0	0	0	0	0	0	0	0
ENSG00000199585	0	0	0	0	0	0	0	0	0	0
ENSG00000232631	0	0	0	0	0	0	0	0	0	0
ENSG00000236007	0	0	0	0	0	0	0	0	0	0
ENSG00000221782	0	0	0	0	0	0	0	0	0	0
ENSG00000273118	0	0	0	0	5	0	0	0	0	0
ENSG00000234308	0	0	0	0	0	0	0	0	0	0
ENSG00000231254	0	0	0	0	0	0	0	0	0	0
ENSG00000223373	0	0	0	0	0	0	0	0	0	0
ENSG00000266354	0	0	0	0	0	0	0	0	0	0
ENSG00000283637	0	0	0	0	0	0	0	0	0	0
ENSG00000030419	3	8	10	2	271	80	25	24	1	0
ENSG00000270659	1	0	0	0	0	1	0	0	0	0
ENSG00000236193	0	0	0	0	0	0	0	0	0	0
ENSG00000272519	0	0	0	0	0	0	0	0	0	0
ENSG00000196096	0	0	0	0	0	0	0	2	0	0
ENSG00000144451	0	0	0	0	1	0	0	155	0	0
ENSG00000265734	0	0	0	0	0	0	0	0	0	0
ENSG00000197585	0	0	2	2	0	1	1	0	0	0
ENSG00000213917	0	0	1	0	1	0	0	0	0	0
ENSG00000174453	0	0	0	0	0	0	0	0	0	0
ENSG00000224257	0	0	0	0	0	0	0	0	0	0
ENSG00000177261	0	0	0	0	0	0	0	0	0	0
ENSG00000138376	1364	252	813	1160	1119	981	1675	860	980	788
ENSG00000229267	16	10	17	8	60	30	21	6	3	2
ENSG00000207274	0	0	0	1	2	0	0	0	0	1
ENSG00000230076	1	7	5	7	117	43	7	65	4	2
ENSG00000144452	11	4	20	3	135	104	25	0	0	0
ENSG00000227769	0	0	1	0	2	1	2	0	0	1
ENSG00000237571	0	0	0	0	0	0	0	0	0	0
ENSG00000138363	2673	1257	1706	3514	5040	4250	3165	6527	2760	2593
ENSG00000115414	0	39	0	1	1237	342	1	274	0	0
ENSG00000230695	0	0	0	0	0	0	0	0	0	0
ENSG00000225166	0	0	0	0	0	1	0	0	0	0
ENSG00000228618	0	0	0	0	0	0	0	0	0	0
ENSG00000234938	0	0	0	0	0	0	0	0	0	0
ENSG00000237525	0	0	0	0	0	0	0	0	0	0
ENSG00000227981	0	0	0	0	0	0	0	0	0	0
ENSG00000235770	0	0	0	0	0	0	0	0	0	1
ENSG00000230838	0	0	0	0	0	0	0	0	0	0
ENSG00000216721	0	0	0	0	0	0	0	0	0	0
ENSG00000227824	0	0	0	0	0	0	0	0	0	0
ENSG00000226276	9	0	4	6	6	4	5	7	3	4
ENSG00000118242	304	74	132	270	448	414	275	337	313	289
ENSG00000115425	206	49	145	151	399	230	318	383	110	103
ENSG00000163449	15	5	10	4	66	7	15	127	11	5
ENSG00000079246	10666	3219	5836	12451	15000	20621	11298	23377	11353	10590
ENSG00000232970	0	0	0	1	0	0	0	0	0	0
ENSG00000236478	0	0	0	0	0	0	0	0	0	0
ENSG00000279348	182	15	50	158	57	356	216	564	69	77
ENSG00000260804	176	23	68	196	117	599	305	860	119	95
ENSG00000144583	1	1	2	4	0	8	10	3	10	5
ENSG00000231092	0	0	0	0	0	0	0	0	0	0
ENSG00000233581	0	0	0	1	0	0	0	0	0	0
ENSG00000207303	0	0	0	0	0	0	0	0	0	0
ENSG00000235042	1	0	0	0	0	0	0	0	0	0
ENSG00000138375	489	168	593	482	1159	889	742	525	356	331
ENSG00000232485	6	4	6	5	19	24	14	4	2	3
ENSG00000241520	0	1	2	0	2	9	5	0	0	0
ENSG00000197756	7999	2311	8242	7511	10168	18942	12324	18794	7042	6893
ENSG00000224391	0	0	0	0	0	0	0	0	0	0
ENSG00000225794	0	0	1	0	0	0	0	0	0	0
ENSG00000235444	0	0	0	0	0	0	0	0	0	0
ENSG00000115457	730	322	588	1312	1668	3069	619	316	880	758
ENSG00000115461	0	1	4	0	14	30	4	24	0	0
ENSG00000236886	0	0	0	0	1	0	0	0	0	0
ENSG00000237930	0	0	0	0	0	0	0	1	0	0
ENSG00000222832	0	0	0	0	0	0	0	0	0	0
ENSG00000229352	0	0	0	0	0	0	0	0	0	0
ENSG00000234588	0	0	0	0	0	0	0	0	0	0
ENSG00000231597	0	0	0	0	0	0	0	0	0	0
ENSG00000118245	0	0	0	0	0	0	0	0	0	0
ENSG00000237479	0	0	0	0	0	0	0	0	0	0
ENSG00000227021	0	0	0	0	0	0	0	0	0	0
ENSG00000236295	0	0	0	0	0	0	0	0	0	0
ENSG00000223874	0	0	0	0	0	0	0	0	0	0
ENSG00000259855	0	0	0	0	0	0	0	0	0	0
ENSG00000251982	0	0	0	0	0	0	0	0	0	0
ENSG00000233143	0	0	0	0	0	0	0	0	0	0
ENSG00000278004	0	0	0	0	0	0	0	0	0	0
ENSG00000231672	0	0	0	0	1	3	0	0	0	0
ENSG00000224414	0	0	0	0	0	0	0	0	0	0
ENSG00000231035	0	0	0	0	0	0	0	0	0	0
ENSG00000079308	74	88	104	55	1235	995	138	391	26	25
ENSG00000275458	0	0	0	0	0	1	0	0	0	0
ENSG00000223923	0	0	0	0	0	0	0	0	0	0
ENSG00000188282	0	0	9	0	3	4	4	1	0	0
ENSG00000229754	0	0	0	0	0	0	0	0	0	0
ENSG00000180871	0	1	0	0	22	2	0	0	0	0
ENSG00000163464	0	0	1	0	6	0	0	0	0	0
ENSG00000224159	1	0	1	0	1	0	0	0	0	0
ENSG00000163466	3581	1738	2288	3308	8266	6092	4036	6391	2961	2818
ENSG00000261338	22	9	17	26	20	33	22	49	8	12
ENSG00000179921	12	2	1	13	4	5	12	4	4	3
ENSG00000127837	1044	573	796	1993	3376	3340	1079	3051	1463	1447
ENSG00000127838	718	266	568	959	1497	1086	961	1297	534	552
ENSG00000135926	1075	890	1422	918	6403	2752	1727	1007	704	668
ENSG00000284173	0	0	0	0	0	0	0	0	0	0
ENSG00000237281	0	0	1	0	2	0	1	0	0	0
ENSG00000278524	0	0	0	0	2	0	0	0	1	3
ENSG00000230580	1	1	3	2	2	1	7	0	2	1
ENSG00000158428	2	0	16	0	1	4	19	2	0	0
ENSG00000225062	18	4	30	7	26	21	24	9	4	7
ENSG00000018280	2	11	14	13	76	4	12	24	7	6
ENSG00000144579	1927	464	1850	2208	3967	3464	3254	4830	1202	1102
ENSG00000273361	17	9	9	12	69	13	22	21	5	3
ENSG00000199121	5	1	4	2	10	14	3	7	5	3
ENSG00000127831	856	2238	661	77	14764	5	1094	14623	12	15
ENSG00000135913	1660	443	934	1772	2229	2158	2241	1665	1302	1193
ENSG00000222714	4	1	1	15	4	6	4	3	3	3
ENSG00000144580	2303	646	1050	2884	3195	3664	2063	3703	2001	1980
ENSG00000207393	0	0	0	0	0	0	0	0	0	0
ENSG00000115556	4	0	18	2	9	18	41	4	1	1
ENSG00000273466	55	17	28	99	45	118	67	81	53	51
ENSG00000115568	1001	328	577	2410	1579	2154	969	2560	1041	1153
ENSG00000074582	403	206	300	990	734	843	469	1079	532	564
ENSG00000163481	288	61	229	468	479	530	288	610	282	276
ENSG00000163482	334	175	500	617	956	1203	786	1410	261	292
ENSG00000135912	609	471	424	1079	2091	2512	686	2467	539	605
ENSG00000135929	2	15	3	5	118	11	4	208	1	2
ENSG00000272555	0	0	0	0	0	0	2	1	0	0
ENSG00000115592	3	0	17	1	0	2	27	4	0	0
ENSG00000283639	0	0	0	0	0	0	0	0	0	0
ENSG00000232625	0	0	0	0	0	0	0	0	0	0
ENSG00000115596	0	1	0	0	15	15	0	340	0	0
ENSG00000135925	109	33	256	66	261	29	293	201	31	32
ENSG00000228135	0	0	0	0	0	1	0	0	0	0
ENSG00000200029	0	0	0	0	0	0	0	0	0	0
ENSG00000235024	0	0	0	0	0	0	0	0	0	0
ENSG00000224928	0	1	1	1	1	2	6	1	0	1
ENSG00000171450	0	0	0	0	18	27	0	41	0	0
ENSG00000236445	0	0	0	0	0	0	0	0	0	0
ENSG00000163497	0	0	0	0	17	1	0	0	0	0
ENSG00000163499	1	2	2	1	23	4	8	9	0	0
ENSG00000198973	2	0	1	0	0	0	5	1	0	1
ENSG00000224090	4	0	22	2	2	1	15	1	0	1
ENSG00000181378	2	0	45	3	6	8	21	6	2	3
ENSG00000163501	10	3	20	13	47	5	43	69	3	4
ENSG00000264755	0	0	0	1	1	0	1	1	0	0
ENSG00000272644	16	11	17	30	28	46	24	29	19	16
ENSG00000187736	15	1	3	18	3	22	10	27	10	4
ENSG00000280537	12	0	11	14	1	58	21	19	9	7
ENSG00000240317	0	0	0	0	0	0	0	0	0	0
ENSG00000213901	16	0	14	25	0	37	30	20	10	11
ENSG00000115649	330	164	530	490	1319	1053	591	1449	270	257
ENSG00000144567	813	312	1585	881	2572	2638	1604	2618	635	564
ENSG00000158552	262	98	262	318	616	402	283	543	229	217
ENSG00000115657	5	10	8	11	53	45	4	28	11	9
ENSG00000198925	825	379	851	1154	2549	2661	1138	1826	689	695
ENSG00000163516	525	133	935	709	880	1500	954	1314	381	406
ENSG00000163521	86	31	147	65	270	124	226	154	35	44
ENSG00000115661	279	112	577	299	771	593	544	654	172	202
ENSG00000127824	1340	829	839	2064	4879	1167	835	3961	1160	1123
ENSG00000243910	0	0	0	2	3	2	6	11	0	0
ENSG00000135924	178	147	335	191	1535	714	362	725	97	122
ENSG00000054356	0	0	0	2	0	2	2	13	1	0
ENSG00000207647	0	0	0	0	0	0	1	0	0	0
ENSG00000230432	0	0	2	0	1	2	0	5	0	0
ENSG00000182698	0	0	0	0	0	0	0	0	0	0
ENSG00000232789	0	0	0	0	0	0	0	0	0	0
ENSG00000123992	604	396	618	1031	1939	1865	868	1288	537	519
ENSG00000229525	2	2	9	2	6	16	5	5	0	0
ENSG00000175084	0	2	2	0	55	46	3	32	0	0
ENSG00000234638	0	0	0	0	0	2	0	0	0	0
ENSG00000280323	0	0	0	0	0	0	0	0	0	0
ENSG00000072195	2	58	3	0	673	2695	10	202	3	0
ENSG00000227432	0	0	0	0	0	1	0	0	0	0
ENSG00000268603	4	2	7	1	18	7	1	11	0	1
ENSG00000144591	576	171	501	903	1151	2058	851	1176	504	505
ENSG00000072182	1	1	2	0	1	39	14	36	2	1
ENSG00000123989	629	373	906	1792	2674	6519	1140	2546	1026	986
ENSG00000188760	14	14	6	17	49	94	22	198	8	7
ENSG00000268896	0	0	0	0	0	44	0	14	0	0
ENSG00000265252	0	0	0	0	0	22	0	1	0	0
ENSG00000124006	0	0	0	0	0	357	0	5398	0	0
ENSG00000269068	0	0	0	0	0	13	0	7	0	0
ENSG00000123999	0	0	0	0	0	1	0	50	0	0
ENSG00000222678	1	0	0	1	0	0	1	3	0	0
ENSG00000144589	401	80	421	560	700	1116	610	1151	205	284
ENSG00000228973	8	2	4	10	0	6	9	4	2	5
ENSG00000114923	203	69	258	344	380	1256	366	537	128	164
ENSG00000267919	8	1	2	2	1	41	14	13	1	0
ENSG00000231802	7	1	5	0	8	8	2	2	1	0
ENSG00000227308	81	26	29	81	117	413	50	47	32	32
ENSG00000223903	25	15	2	44	58	151	11	15	9	7
ENSG00000228909	0	0	0	0	0	1	0	0	0	0
ENSG00000266518	0	0	0	0	0	0	0	0	0	0
ENSG00000225911	0	0	0	0	0	0	0	0	0	0
ENSG00000239498	16	7	5	23	46	99	19	21	5	3
ENSG00000235337	14	2	4	16	24	54	18	6	3	3
ENSG00000236451	5	3	5	0	21	50	7	4	1	2
ENSG00000224819	0	1	0	0	8	4	0	1	0	0
ENSG00000232089	0	0	0	0	0	0	0	0	0	0
ENSG00000116106	1	10	0	0	253	266	1	1642	0	0
ENSG00000226726	0	0	0	0	0	0	0	0	0	0
ENSG00000272944	1	0	0	0	8	3	0	6	0	0
ENSG00000230406	0	0	0	0	0	0	0	0	0	0
ENSG00000234446	0	0	0	0	0	0	0	0	0	0
ENSG00000233868	3	4	0	3	6	21	5	4	4	9
ENSG00000226666	7	1	7	13	6	13	10	16	6	6
ENSG00000226331	0	0	0	0	0	0	0	1	0	0
ENSG00000135903	0	0	0	0	0	0	2	0	0	0
ENSG00000163081	0	0	0	0	0	0	0	0	0	0
ENSG00000267034	1	14	11	7	211	0	15	1	4	3
ENSG00000237732	7	9	7	9	69	0	7	0	6	6
ENSG00000200822	0	0	0	0	0	0	0	0	0	0
ENSG00000163082	440	682	569	484	5117	54	593	113	361	346
ENSG00000228670	0	0	0	0	0	0	0	0	0	0
ENSG00000202016	4	1	2	6	9	0	2	0	1	0
ENSG00000234285	0	0	0	0	2	0	0	0	0	0
ENSG00000261428	108	24	20	103	63	140	51	166	40	44
ENSG00000116120	1698	903	896	2279	2913	3560	1675	3079	2139	1930
ENSG00000124003	0	0	0	1	0	0	1	3	0	0
ENSG00000233751	0	0	0	0	0	0	0	0	0	0
ENSG00000203531	0	0	0	0	1	0	0	0	0	0
ENSG00000235225	1	0	0	0	0	0	8	1	0	2
ENSG00000123983	2627	765	1751	1562	5529	6207	2751	3646	2165	1774
ENSG00000224121	0	0	0	0	0	0	0	0	0	0
ENSG00000234193	0	0	0	0	0	0	0	0	0	0
ENSG00000278083	0	0	0	0	0	0	0	0	0	0
ENSG00000152049	1	0	0	1	1	0	0	4	1	0
ENSG00000243125	0	0	1	0	0	0	0	0	0	0
ENSG00000233299	0	0	0	0	0	2	0	0	0	0
ENSG00000231189	0	0	0	0	0	0	0	0	0	0
ENSG00000235610	0	0	0	0	0	1	0	0	0	0
ENSG00000171951	2	1	3	3	5	1354	5	30	6	3
ENSG00000226539	0	0	0	0	0	0	0	0	0	0
ENSG00000152056	396	188	172	376	624	3697	465	506	301	309
ENSG00000085449	1220	439	1353	847	3026	2422	2152	2271	718	636
ENSG00000135900	737	237	590	786	1333	1663	721	1300	649	635
ENSG00000228802	0	0	0	0	0	0	0	0	0	0
ENSG00000135919	289	1008	1102	462	2425	1733	951	565	468	436
ENSG00000224826	0	0	0	0	0	0	0	0	0	0
ENSG00000228681	0	0	0	0	0	0	0	0	0	0
ENSG00000124019	0	0	0	0	0	0	0	0	0	0
ENSG00000274629	0	0	0	0	0	0	0	0	0	0
ENSG00000036257	2887	1091	1769	2857	5209	4143	3262	3636	2559	2467
ENSG00000228446	32	9	22	70	27	25	55	21	22	28
ENSG00000283428	0	0	0	0	0	0	0	0	0	0
ENSG00000135905	0	0	0	1	0	3	0	2	0	1
ENSG00000263828	0	0	0	0	0	0	0	0	0	0
ENSG00000144460	1	0	0	0	25	0	1	2	0	0
ENSG00000228206	0	0	0	0	0	0	0	0	0	0
ENSG00000273301	0	0	0	0	13	1	2	2	0	0
ENSG00000279015	0	0	0	0	0	0	0	0	0	0
ENSG00000230621	0	0	0	0	1	7	0	0	0	0
ENSG00000235070	0	0	0	0	1	127	1	0	0	0
ENSG00000263363	0	0	0	0	1	15	0	0	0	0
ENSG00000169047	840	1121	1283	1329	7503	13371	2160	1190	680	733
ENSG00000272622	1	3	4	0	18	25	3	4	0	0
ENSG00000261379	1	1	9	0	6	2	4	1	1	0
ENSG00000144468	651	164	1143	612	1005	2304	1384	1105	442	440
ENSG00000212391	0	0	0	0	0	1	0	0	0	0
ENSG00000081052	29	0	30	26	8	728	22	2	17	18
ENSG00000169031	0	0	0	0	0	297	0	0	0	0
ENSG00000236432	16	1	10	10	13	29	22	5	4	2
ENSG00000168958	976	348	856	817	1748	1791	1448	1354	777	718
ENSG00000168955	0	6	0	0	136	0	0	0	0	0
ENSG00000284092	0	0	0	0	0	0	0	0	0	0
ENSG00000173744	2347	890	1337	1949	4343	3337	2692	2752	1652	1452
ENSG00000042304	0	0	0	0	0	0	0	0	0	0
ENSG00000236116	0	0	0	0	0	0	0	0	0	0
ENSG00000250599	0	0	0	0	0	0	0	0	0	0
ENSG00000135917	1	5	0	1	40	1	0	4	0	0
ENSG00000252346	0	0	0	0	0	0	0	0	0	0
ENSG00000226718	0	0	0	0	0	0	0	0	0	0
ENSG00000229172	0	0	0	0	2	0	0	0	0	0
ENSG00000115009	0	9	1	0	78	0	0	117	0	0
ENSG00000183514	0	0	0	0	0	0	0	1	0	0
ENSG00000123977	0	1	0	0	36	2	0	3	0	0
ENSG00000272237	0	0	0	0	0	0	0	0	0	0
ENSG00000153820	0	0	0	0	0	0	0	0	0	0
ENSG00000200281	0	0	0	0	0	0	0	0	0	0
ENSG00000203387	0	0	1	0	0	0	0	0	0	0
ENSG00000232023	9	1	25	1	32	22	11	9	2	1
ENSG00000228226	0	0	0	0	0	0	0	0	0	0
ENSG00000237322	0	0	0	0	0	0	0	0	0	0
ENSG00000153823	37	17	31	12	67	0	27	2	19	18
ENSG00000226297	0	0	0	0	0	0	0	0	0	0
ENSG00000253006	0	0	0	1	0	0	2	0	0	1
ENSG00000187957	1	3	6	4	1	265	2	0	2	1
ENSG00000238782	0	0	0	0	0	0	0	0	0	0
ENSG00000235993	0	0	0	0	0	0	0	0	0	0
ENSG00000153827	7644	2354	6885	7533	13856	11163	10073	11583	5735	5305
ENSG00000222344	0	0	0	0	0	0	0	0	0	0
ENSG00000153832	106	15	190	59	130	145	253	98	43	40
ENSG00000252333	0	0	0	0	0	0	0	0	0	0
ENSG00000231534	3	0	0	2	2	6	1	1	1	1
ENSG00000206725	0	0	1	0	0	2	0	0	0	0
ENSG00000163053	510	36	493	757	86	312	562	112	651	557
ENSG00000199400	11	0	1	2	2	1	4	3	3	3
ENSG00000225963	1	0	0	0	0	1	0	1	0	0
ENSG00000283451	0	0	0	0	0	0	0	0	0	0
ENSG00000135899	202	59	289	132	720	414	407	201	97	114
ENSG00000079263	4	1	17	1	2	11	12	5	1	0
ENSG00000185404	396	113	426	309	613	1398	627	368	201	205
ENSG00000279964	7	0	4	3	1	0	2	0	1	1
ENSG00000067066	719	181	951	419	1423	2026	1381	896	379	342
ENSG00000243650	12	1	13	14	5	30	31	28	4	3
ENSG00000250011	3	1	4	0	0	0	1	8	1	0
ENSG00000235419	0	0	0	0	0	0	0	0	0	0
ENSG00000183022	10	1	1	3	4	0	5	1	1	1
ENSG00000283202	0	0	0	0	0	0	0	0	0	0
ENSG00000199791	0	0	0	0	0	0	0	0	0	0
ENSG00000226125	1	1	0	0	7	5	2	0	0	0
ENSG00000135932	1778	840	1404	1323	3311	3883	2710	2619	1402	1208
ENSG00000237758	2	0	0	5	3	7	10	6	0	2
ENSG00000201044	4	2	1	3	4	1	1	1	0	3
ENSG00000270891	0	0	0	0	0	0	0	0	0	0
ENSG00000135916	1422	163	2188	1120	1096	3744	2936	3752	873	772
ENSG00000232520	1	0	1	0	0	0	3	0	0	1
ENSG00000135898	0	5	2	0	39	1	0	8	0	0
ENSG00000230385	0	0	0	1	5	0	0	9	0	0
ENSG00000283164	0	0	0	0	0	0	0	0	0	0
ENSG00000235013	0	0	1	0	2	1	1	0	0	1
ENSG00000238062	25	1	21	60	0	5	22	42	31	28
ENSG00000173699	0	1	1	0	1	0	0	1	0	0
ENSG00000204128	140	9	176	122	89	91	284	296	80	67
ENSG00000261829	1	0	0	3	1	1	3	6	0	0
ENSG00000173692	2955	1805	964	3837	7404	5568	2169	3972	3377	3251
ENSG00000135914	0	0	0	0	0	0	0	0	0	0
ENSG00000201574	4	4	0	8	3	0	4	1	1	0
ENSG00000135931	457	57	356	607	361	690	626	574	360	311
ENSG00000237039	3	21	0	5	34	1	6	3	0	0
ENSG00000263641	2	0	0	1	0	0	0	0	0	2
ENSG00000224376	3	2	7	4	6	29	12	12	2	3
ENSG00000156966	0	56	2	1	280	242	3	82	0	0
ENSG00000172799	5	0	6	1	1	0	2	1	16	20
ENSG00000230047	0	0	0	5	0	0	1	1	0	1
ENSG00000233538	0	0	0	0	0	0	0	0	0	0
ENSG00000115053	21706	8648	12634	31453	28472	45364	19206	42156	30931	29081
ENSG00000206885	35	9	12	26	22	60	41	59	15	20
ENSG00000207280	42	11	10	64	44	53	49	70	19	30
ENSG00000202400	4	2	5	0	2	3	7	6	11	13
ENSG00000283312	10	6	23	13	34	15	22	13	3	6
ENSG00000283491	11	7	11	19	29	14	51	14	6	6
ENSG00000223198	4	2	5	5	4	2	15	3	2	1
ENSG00000181798	16	24	34	18	61	22	42	31	15	14
ENSG00000171596	0	0	0	0	1	0	0	0	0	0
ENSG00000231494	0	0	0	0	0	0	0	0	0	1
ENSG00000228884	0	0	0	0	0	0	0	0	0	1
ENSG00000177673	0	0	0	0	0	0	0	0	0	0
ENSG00000239202	1	0	1	1	0	0	0	1	0	0
ENSG00000187514	24767	8830	17968	21763	37756	49555	29992	45966	15861	15104
ENSG00000277986	0	0	0	0	0	0	0	0	0	0
ENSG00000284378	0	0	0	0	0	0	0	0	0	0
ENSG00000156973	264	49	205	176	296	387	407	492	166	181
ENSG00000281072	0	0	0	0	0	0	0	0	0	0
ENSG00000144524	835	304	488	1067	1542	1488	921	1768	609	660
ENSG00000237641	0	0	0	0	0	1	0	0	0	0
ENSG00000261096	20	10	10	43	28	30	31	35	16	10
ENSG00000260622	0	0	0	0	0	0	0	0	0	0
ENSG00000222246	0	0	0	0	0	0	0	0	0	0
ENSG00000163273	0	0	0	0	0	3	0	0	0	0
ENSG00000144535	690	333	414	942	1943	1919	809	1935	452	530
ENSG00000227033	0	0	0	0	0	1	0	0	0	0
ENSG00000207626	6	1	1	6	3	2	3	2	2	3
ENSG00000251485	2	2	0	2	15	24	6	16	1	2
ENSG00000230122	0	0	0	0	0	0	0	0	0	0
ENSG00000275157	0	0	0	0	0	0	0	0	0	0
ENSG00000163283	32	199	1	36	290	7	51	242	8	7
ENSG00000224516	0	1	0	0	3	10	0	4	0	0
ENSG00000244280	0	2	0	0	1	2	0	2	0	0
ENSG00000163286	0	567	0	0	784	10	0	16	0	0
ENSG00000204121	0	0	0	0	1	20	0	14	0	0
ENSG00000237087	0	0	0	0	0	6	0	0	0	0
ENSG00000223788	0	0	0	0	0	0	0	0	0	0
ENSG00000163295	0	6	0	0	123	0	1	0	0	0
ENSG00000171551	0	0	0	0	0	0	0	44	0	0
ENSG00000237412	2	0	4	3	0	0	2	0	0	0
ENSG00000135902	1	0	0	0	0	0	2	334	0	0
ENSG00000196811	0	0	0	0	0	1	0	0	0	0
ENSG00000221944	167	152	195	229	503	343	285	681	148	149
ENSG00000135930	1311	546	860	1491	2665	2050	1526	1751	1103	1058
ENSG00000284407	0	0	0	0	0	0	0	0	0	0
ENSG00000237126	1	0	1	0	0	0	1	0	0	0
ENSG00000115468	66	0	103	37	6	9	89	0	22	32
ENSG00000244384	1	0	7	0	0	0	0	0	0	5
ENSG00000204120	2918	934	2447	2910	4630	4726	3835	4150	2181	2175
ENSG00000213055	0	0	0	0	0	0	0	0	0	0
ENSG00000241409	0	0	0	0	0	0	0	0	0	0
ENSG00000115474	0	0	0	0	0	0	0	0	0	0
ENSG00000252452	18	4	4	21	10	6	14	8	1	4
ENSG00000199781	12	2	2	8	13	4	6	3	2	3
ENSG00000182600	92	19	59	51	63	169	92	53	31	34
ENSG00000066248	149	42	523	163	537	212	446	731	132	136
ENSG00000222001	0	1	0	0	51	0	0	19	0	0
ENSG00000115488	0	0	0	0	0	0	0	0	0	0
ENSG00000168918	2	0	5	0	15	50	3	3627	0	1
ENSG00000263941	0	0	1	0	0	0	0	1	0	1
ENSG00000085978	694	329	469	1102	1505	1504	875	1351	683	672
ENSG00000252010	268	34	490	79	160	322	324	293	210	193
ENSG00000251791	59	19	131	37	90	135	78	213	71	67
ENSG00000130561	1	0	1	3	1	1	1	0	0	0
ENSG00000259793	8	1	6	5	2	0	6	7	0	2
ENSG00000077044	1521	473	1519	1758	2511	2890	1946	3176	644	739
ENSG00000201013	0	0	0	0	0	0	0	0	0	0
ENSG00000085982	1600	567	1827	1288	3413	1658	3108	1808	727	767
ENSG00000271639	0	0	0	0	0	0	0	0	0	0
ENSG00000228949	0	0	0	0	1	0	0	14	0	0
ENSG00000227846	0	0	0	0	0	0	0	1	0	0
ENSG00000242366	0	0	0	0	5	0	0	7	0	0
ENSG00000242515	0	0	0	0	0	0	0	3	0	0
ENSG00000234143	0	0	0	0	1	0	0	4	0	0
ENSG00000241119	0	0	0	0	2	0	0	1	0	0
ENSG00000244122	0	1	0	1	15	0	0	3	0	0
ENSG00000167165	1	4	0	0	109	0	0	3	0	0
ENSG00000224814	0	0	0	0	0	0	0	0	0	0
ENSG00000240224	0	1	0	0	11	0	1	1	0	0
ENSG00000244474	2	2	0	0	2	0	1	1	0	0
ENSG00000233445	0	0	0	0	0	0	0	0	0	0
ENSG00000243135	0	3	0	0	13	0	0	2	0	0
ENSG00000248114	0	0	0	0	9	0	7	0	0	0
ENSG00000227802	0	0	0	0	0	0	0	0	0	0
ENSG00000228445	0	0	0	0	11	0	0	1	0	0
ENSG00000248705	0	0	0	0	13	0	1	1	0	0
ENSG00000178836	0	0	0	0	0	0	0	0	0	0
ENSG00000241635	0	1	0	3	75	0	0	9	0	0
ENSG00000185038	0	0	0	0	5	0	1	0	0	0
ENSG00000123485	1587	484	1807	2152	2225	1775	2277	1778	1473	1524
ENSG00000224287	9	6	1	6	17	9	7	5	2	10
ENSG00000279809	0	0	0	0	0	0	0	0	0	0
ENSG00000144481	2	1	1	0	1	5	2	3	1	0
ENSG00000237581	0	0	0	0	0	0	0	0	0	0
ENSG00000072080	0	0	0	0	1	0	0	0	0	0
ENSG00000279218	1	0	2	0	0	0	0	0	0	0
ENSG00000226442	0	0	0	0	0	0	0	0	0	0
ENSG00000261298	0	0	0	0	0	0	0	0	0	0
ENSG00000237784	0	0	0	0	0	0	0	2	0	0
ENSG00000228162	0	0	0	0	0	0	0	0	0	0
ENSG00000231682	0	0	0	0	0	0	0	0	0	0
ENSG00000232690	0	0	0	0	0	0	0	0	0	0
ENSG00000188042	1359	551	1538	1065	4197	378	1982	185	747	697
ENSG00000280744	0	0	0	0	0	0	0	1	0	0
ENSG00000278593	0	0	0	0	0	0	0	0	0	0
ENSG00000235726	24	9	28	7	48	24	44	25	3	6
ENSG00000130147	5095	552	6418	6251	3251	2477	7427	4263	3846	3633
ENSG00000226542	0	0	0	0	0	0	0	0	0	0
ENSG00000231032	0	0	0	0	0	0	0	0	0	0
ENSG00000235293	0	0	0	0	0	3	0	0	0	0
ENSG00000157985	1810	764	2453	2279	4128	3943	3361	4906	1401	1326
ENSG00000235529	32	13	16	78	59	42	31	34	14	13
ENSG00000222007	0	0	0	0	0	0	0	0	0	0
ENSG00000228499	0	4	2	0	4	2	0	8	2	2
ENSG00000238812	2	0	0	3	5	1	1	1	0	3
ENSG00000264676	6	0	1	5	7	4	11	4	0	1
ENSG00000207049	0	0	0	0	0	0	0	0	0	0
ENSG00000168505	0	0	0	0	0	137	0	91	0	0
ENSG00000233611	0	0	0	0	1	117	0	30	0	0
ENSG00000182177	0	0	0	0	0	1	0	0	0	0
ENSG00000200745	0	0	0	0	0	0	0	0	0	0
ENSG00000132321	0	0	0	0	0	0	0	5	0	0
ENSG00000270540	0	0	0	0	0	8	0	9	0	0
ENSG00000232893	0	0	0	0	0	5	0	2	0	0
ENSG00000231546	0	0	0	0	0	0	0	0	0	0
ENSG00000144476	0	11	0	0	26	1	0	0	0	0
ENSG00000232328	0	0	0	0	0	0	0	0	0	0
ENSG00000202341	0	0	0	0	0	1	0	0	0	0
ENSG00000124835	0	1	1	4	5	19	7	6	2	1
ENSG00000227252	29	9	34	26	25	32	36	59	14	21
ENSG00000198612	901	393	682	1110	1823	1141	1349	1651	957	939
ENSG00000224844	0	0	0	0	0	0	0	0	0	0
ENSG00000224132	0	0	0	0	0	0	0	0	0	0
